target_name,acquirer_name,acquirer_type,deal_type,announcement_date,closing_date,deal_value_usd,enterprise_value,ev_to_ebitda,ev_to_revenue,premium_paid_pct,leverage_multiple,target_revenue,target_ebitda,target_ebitda_margin,target_status,sector_name,sub_industry,geography,deal_status,hostile_or_friendly,consortium_flag,financing_structure_text,data_source,citation,notes,data_origin
LinkedIn,Microsoft,strategic,strategic_acquisition,2016-06-13,2016-12-08,26200,26200,,,50.0,,,,,public,Technology,Application Software,US,closed,friendly,FALSE,All cash,Press release,Press release,50% premium to undisturbed price,real
GitHub,Microsoft,strategic,strategic_acquisition,2018-06-04,2018-10-26,7500,7500,,,,,,,,private,Technology,Application Software,US,closed,friendly,FALSE,All stock,Press release,Press release,Developer platform acquisition,real
Activision Blizzard,Microsoft,strategic,strategic_acquisition,2022-01-18,2023-10-13,68700,68700,,4.2,45.0,,16500,,,public,Technology,Internet & E-Commerce,US,closed,friendly,FALSE,All cash,Press release,Press release,Largest gaming acquisition ever,real
VMware,Broadcom,strategic,strategic_acquisition,2022-05-26,2023-11-22,61000,61000,15.5,5.2,,,11750,3900,33.2,public,Technology,Infrastructure Software,US,closed,friendly,FALSE,Cash and stock,Press release,Press release,Enterprise software consolidation,real
CA Technologies,Broadcom,strategic,strategic_acquisition,2018-07-11,2018-11-05,18900,18900,11.2,4.1,,,4600,1700,37.0,public,Technology,Infrastructure Software,US,closed,friendly,FALSE,All cash,Press release,Press release,Paid 20% premium,real
Symantec Enterprise Security,Broadcom,strategic,carve_out,2019-08-08,2019-11-04,10700,10700,,,,,,,,subsidiary,Technology,Cybersecurity,US,closed,friendly,FALSE,All cash,Press release,Press release,Carve-out from Symantec corp,real
NetSuite,Oracle,strategic,strategic_acquisition,2016-07-28,2016-11-07,9300,9300,,,67.0,,,,,public,Technology,Application Software,US,closed,friendly,FALSE,All cash,Press release,Press release,67% premium; ERP cloud play,real
Cerner,Oracle,strategic,strategic_acquisition,2021-12-20,2022-06-08,28300,28300,14.5,3.5,18.0,,8200,1950,23.8,public,Healthcare,Healthcare Services,US,closed,friendly,FALSE,All cash,Press release,Press release,Healthcare IT consolidation,real
MuleSoft,Salesforce,strategic,strategic_acquisition,2018-03-20,2018-05-01,6500,6500,,,36.0,,,,,public,Technology,Application Software,US,closed,friendly,FALSE,Cash and stock,Press release,Press release,36% premium; integration platform,real
Tableau,Salesforce,strategic,strategic_acquisition,2019-06-10,2019-08-01,15700,15700,,,42.0,,,,,public,Technology,Data & Analytics,US,closed,friendly,FALSE,All stock,Press release,Press release,42% premium; data analytics,real
Slack,Salesforce,strategic,strategic_acquisition,2020-12-01,2021-07-21,27700,27700,,,55.0,,,,,public,Technology,Application Software,US,closed,friendly,FALSE,Cash and stock,Press release,Press release,55% premium; enterprise messaging,real
Proofpoint,Thoma Bravo,sponsor,take_private,2021-04-26,2021-08-31,12300,12300,18.0,,34.0,5.0,1050,683,,public,Technology,Cybersecurity,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,Largest cybersecurity take-private at time,real
Medallia,Thoma Bravo,sponsor,take_private,2021-07-26,2021-10-28,6400,6400,,,20.0,4.5,510,,,public,Technology,Application Software,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,Customer experience platform,real
Anaplan,Thoma Bravo,sponsor,take_private,2022-03-21,2022-06-21,10700,10700,,,46.0,5.0,476,,,public,Technology,Application Software,US,closed,friendly,FALSE,LBO - leveraged buyout,Press release,Press release,Planning software take-private,real
Citrix Systems,Vista Equity Partners,sponsor,take_private,2022-01-31,2022-09-30,16500,16500,12.0,3.3,24.0,5.5,3275,1375,42.0,public,Technology,Application Software,US,closed,friendly,TRUE,LBO - leveraged buyout with Elliott,Press release,Press release,Enterprise software; consortium with Elliott,real
SolarWinds,Thoma Bravo,sponsor,take_private,2016-02-05,2016-02-05,4500,4500,,,,,,,,public,Technology,IT Services,US,closed,friendly,TRUE,LBO - leveraged buyout,Press release,Press release,Consortium with Silver Lake,real
